Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 13:56:00+00:00,115327.16,115474.99,115327.16,115449.96,36.47221,2025-10-28 13:56:59.999000+00:00,4210173.6007135,4654,24.04482,2775408.1494181,1761659760000,1761659819999
2025-10-28 13:57:00+00:00,115450.0,115500.0,115402.0,115402.0,22.25069,2025-10-28 13:57:59.999000+00:00,2569352.2126325,7221,12.72963,1470018.1053458,1761659820000,1761659879999
2025-10-28 13:58:00+00:00,115402.01,115489.02,115391.29,115489.01,6.02739,2025-10-28 13:58:59.999000+00:00,695772.0271064,2978,3.91752,452180.5737376,1761659880000,1761659939999
2025-10-28 13:59:00+00:00,115489.01,115522.91,115489.01,115522.9,20.93342,2025-10-28 13:59:59.999000+00:00,2417953.6328193,2090,17.55052,2027218.2668788,1761659940000,1761659999999
2025-10-28 14:00:00+00:00,115522.91,115567.25,115522.91,115536.79,18.67775,2025-10-28 14:00:59.999000+00:00,2158251.2384334,6368,9.65578,1115697.0246579,1761660000000,1761660059999
2025-10-28 14:01:00+00:00,115536.78,115536.79,115427.26,115448.98,21.02043,2025-10-28 14:01:59.999000+00:00,2427413.3980278,5399,4.34085,501285.1450367,1761660060000,1761660119999
2025-10-28 14:02:00+00:00,115448.98,115531.04,115439.47,115508.2,9.18012,2025-10-28 14:02:59.999000+00:00,1060189.3704456,4164,3.34194,385924.609776,1761660120000,1761660179999
2025-10-28 14:03:00+00:00,115508.21,115542.67,115482.31,115533.93,13.70964,2025-10-28 14:03:59.999000+00:00,1583706.5721093,5324,5.18304,598712.2412414,1761660180000,1761660239999
2025-10-28 14:04:00+00:00,115533.93,115554.99,115533.93,115539.69,3.93284,2025-10-28 14:04:59.999000+00:00,454423.9085353,1560,2.43545,281402.3742909,1761660240000,1761660299999
2025-10-28 14:05:00+00:00,115539.7,115561.0,115490.19,115490.2,8.7838,2025-10-28 14:05:59.999000+00:00,1014879.8538127,3415,3.47888,401970.1241913,1761660300000,1761660359999
2025-10-28 14:06:00+00:00,115490.19,115490.19,115367.38,115370.54,12.29896,2025-10-28 14:06:59.999000+00:00,1419413.8749786,7295,3.69566,426492.2444241,1761660360000,1761660419999
2025-10-28 14:07:00+00:00,115370.54,115400.0,115333.87,115391.26,15.98916,2025-10-28 14:07:59.999000+00:00,1844515.109552,6678,4.58845,529308.9401226,1761660420000,1761660479999
2025-10-28 14:08:00+00:00,115391.27,115440.0,115370.88,115423.05,11.59943,2025-10-28 14:08:59.999000+00:00,1338669.4471055,3676,5.62651,649324.5017333,1761660480000,1761660539999
